UNITID,SECTOR
101949,Community Colleges
102429,Community Colleges
102030,Community Colleges
100760,Community Colleges
101028,Community Colleges
101161,Community Colleges
101143,Community Colleges
101240,Community Colleges
101286,Community Colleges
101295,Community Colleges
101301,Community Colleges
102313,Community Colleges
101471,Community Colleges
101462,Community Colleges
101499,Community Colleges
101505,Community Colleges
101514,Community Colleges
101569,Community Colleges
101602,Community Colleges
101897,Community Colleges
101736,Community Colleges
101994,Community Colleges
102067,Community Colleges
102076,Community Colleges
251260,Community Colleges
487816,Other private not-for-profits
439978,Other private not-for-profits
101648,"Other public two-years, less-than-two-years"
488916,Private for-profits
371034,Private for-profits
444440,Private for-profits
470162,Private for-profits
455707,Private for-profits
450933,Private for-profits
371052,Private for-profits
455460,Private for-profits
436641,Private for-profits
455488,Private for-profits
475130,Private for-profits
455628,Private for-profits
462026,Private for-profits
414568,Private for-profits
451945,Private for-profits
450252,Private for-profits
431628,Private for-profits
101277,Private for-profits
454652,Private for-profits
417008,Private for-profits
486707,Private for-profits
101116,Private for-profits
450377,Private for-profits
480976,Private for-profits
476805,Private for-profits
450456,Private for-profits
420307,Private for-profits
420316,Private for-profits
445090,Private for-profits
452115,Private for-profits
483975,Private not-for-profit four-years
100690,Private not-for-profit four-years
100937,Private not-for-profit four-years
101073,Private not-for-profit four-years
101189,Private not-for-profit four-years
101453,Private not-for-profit four-years
101365,Private not-for-profit four-years
101435,Private not-for-profit four-years
449348,Private not-for-profit four-years
101541,Private not-for-profit four-years
101675,Private not-for-profit four-years
101912,Private not-for-profit four-years
366535,Private not-for-profit four-years
102049,Private not-for-profit four-years
102058,Private not-for-profit four-years
102261,Private not-for-profit four-years
102234,Private not-for-profit four-years
102270,Private not-for-profit four-years
102298,Private not-for-profit four-years
102377,Private not-for-profit four-years
102395,Private not-for-profit four-years
101693,Private not-for-profit four-years
100654,Public four-years
100724,Public four-years
100812,Public four-years
100858,Public four-years
100830,Public four-years
101480,Public four-years
100751,Public four-years
102368,Public four-years
100663,Public four-years
100706,Public four-years
101709,Public four-years
101879,Public four-years
102094,Public four-years
101587,Public four-years
442523,Other private not-for-profits
102711,"Other public two-years, less-than-two-years"
103501,Private for-profits
102580,Private not-for-profit four-years
102669,Private not-for-profit four-years
434584,Public four-years
102553,Public four-years
102614,Public four-years
102632,Public four-years
240736,Public four-years
104160,Community Colleges
104346,Community Colleges
364025,Community Colleges
104425,Community Colleges
404426,Community Colleges
105297,Community Colleges
104577,Community Colleges
384333,Community Colleges
105145,Community Colleges
246895,Community Colleges
104708,Community Colleges
105154,Community Colleges
105206,Community Colleges
105349,Community Colleges
364016,Community Colleges
105428,Community Colleges
105525,Community Colleges
105668,Community Colleges
105747,Community Colleges
105792,Community Colleges
442781,Community Colleges
106148,Community Colleges
487889,Other private not-for-profits
441210,"Other public two-years, less-than-two-years"
440721,"Other public two-years, less-than-two-years"
459125,Private for-profits
485306,Private for-profits
486868,Private for-profits
469610,Private for-profits
404037,Private for-profits
103811,Private for-profits
436094,Private for-profits
456348,Private for-profits
103954,Private for-profits
103963,Private for-profits
421708,Private for-profits
482990,Private for-profits
450951,Private for-profits
446039,Private for-profits
484163,Private for-profits
450942,Private for-profits
104568,Private for-profits
474915,Private for-profits
484899,Private for-profits
476753,Private for-profits
104090,Private for-profits
404055,Private for-profits
438179,Private for-profits
456612,Private for-profits
104364,Private for-profits
110219,Private for-profits
103909,Private for-profits
250601,Private for-profits
103893,Private for-profits
103927,Private for-profits
419156,Private for-profits
454245,Private for-profits
104391,Private for-profits
262341,Private for-profits
105482,Private for-profits
104504,Private for-profits
482422,Private for-profits
447148,Private for-profits
104443,Private for-profits
104434,Private for-profits
106111,Private for-profits
103741,Private for-profits
487481,Private for-profits
456180,Private for-profits
430166,Private for-profits
104717,Private for-profits
105701,Private for-profits
439668,Private for-profits
480347,Private for-profits
451972,Private for-profits
470861,Private for-profits
105172,Private for-profits
105163,Private for-profits
490452,Private for-profits
262332,Private for-profits
461023,Private for-profits
104911,Private for-profits
459116,Private for-profits
460914,Private for-profits
447698,Private for-profits
456038,Private for-profits
260691,Private for-profits
486822,Private for-profits
105534,Private for-profits
461713,Private for-profits
105659,Private for-profits
105677,Private for-profits
475839,Private for-profits
488077,Private for-profits
442879,Private for-profits
104188,Private for-profits
455725,Private for-profits
428444,Private for-profits
444927,Private for-profits
105987,Private for-profits
447704,Private for-profits
444936,Private for-profits
106041,Private for-profits
105215,Private for-profits
363934,Private for-profits
484613,Private for-profits
469142,Private for-profits
469133,Private for-profits
106102,Private for-profits
105899,Private not-for-profit four-years
103945,Private not-for-profit four-years
474890,Private not-for-profit four-years
104586,Private not-for-profit four-years
436614,Private not-for-profit four-years
423643,Private not-for-profit four-years
105367,Private not-for-profit four-years
381459,Private not-for-profit four-years
105589,Private not-for-profit four-years
104665,Private not-for-profit four-years
420246,Private not-for-profit four-years
485078,Private not-for-profit four-years
448886,Public four-years
420574,Public four-years
483124,Public four-years
104151,Public four-years
407009,Public four-years
105330,Public four-years
103778,Public four-years
104179,Public four-years
487296,Public four-years
107327,Community Colleges
107318,Community Colleges
106449,Community Colleges
420538,Community Colleges
440402,Community Colleges
106625,Community Colleges
107521,Community Colleges
106795,Community Colleges
106883,Community Colleges
106980,Community Colleges
107460,Community Colleges
367459,Community Colleges
107549,Community Colleges
107619,Community Colleges
107974,Community Colleges
107637,Community Colleges
107992,Community Colleges
107743,Community Colleges
106999,Community Colleges
107725,Community Colleges
107585,Community Colleges
107664,Community Colleges
106546,Other private not-for-profits
107123,Other private not-for-profits
438869,Other private not-for-profits
107840,Other private not-for-profits
106829,"Other public two-years, less-than-two-years"
107488,"Other public two-years, less-than-two-years"
486619,Private for-profits
107293,Private for-profits
106324,Private for-profits
106315,Private for-profits
106351,Private for-profits
106360,Private for-profits
106494,Private for-profits
489830,Private for-profits
445540,Private for-profits
450119,Private for-profits
454458,Private for-profits
490364,Private for-profits
107220,Private for-profits
446190,Private for-profits
480921,Private for-profits
106892,Private for-profits
107099,Private for-profits
106908,Private for-profits
413839,Private for-profits
485591,Private for-profits
107442,Private for-profits
107789,Private for-profits
107655,Private for-profits
485704,Private for-profits
107831,Private for-profits
458885,Private for-profits
485731,Private for-profits
460987,Private for-profits
484622,Private for-profits
108065,Private for-profits
457192,Private for-profits
106306,Private not-for-profit four-years
488527,Private not-for-profit four-years
106713,Private not-for-profit four-years
106810,Private not-for-profit four-years
446233,Private not-for-profit four-years
107044,Private not-for-profit four-years
107080,Private not-for-profit four-years
107141,Private not-for-profit four-years
106342,Private not-for-profit four-years
107512,Private not-for-profit four-years
107600,Private not-for-profit four-years
107558,Private not-for-profit four-years
107877,Private not-for-profit four-years
106458,Public four-years
106467,Public four-years
107071,Public four-years
107983,Public four-years
106397,Public four-years
106245,Public four-years
106485,Public four-years
106412,Public four-years
106263,Public four-years
108092,Public four-years
106704,Public four-years
108807,Community Colleges
109208,Community Colleges
109350,Community Colleges
109819,Community Colleges
109907,Community Colleges
125170,Community Colleges
110246,Community Colleges
110334,Community Colleges
111434,Community Colleges
111887,Community Colleges
111896,Community Colleges
111920,Community Colleges
111939,Community Colleges
112172,Community Colleges
112190,Community Colleges
489201,Community Colleges
112385,Community Colleges
108667,Community Colleges
118347,Community Colleges
122791,Community Colleges
111461,Community Colleges
113573,Community Colleges
121707,Community Colleges
123217,Community Colleges
123484,Community Colleges
112561,Community Colleges
112826,Community Colleges
395362,Community Colleges
113096,Community Colleges
113111,Community Colleges
113193,Community Colleges
113218,Community Colleges
113236,Community Colleges
113333,Community Colleges
113634,Community Colleges
113856,Community Colleges
112686,Community Colleges
113980,Community Colleges
114266,Community Colleges
114433,Community Colleges
444219,Community Colleges
114716,Community Colleges
114789,Community Colleges
114859,Community Colleges
114938,Community Colleges
115001,Community Colleges
115126,Community Colleges
115296,Community Colleges
115393,Community Colleges
115861,Community Colleges
116439,Community Colleges
117195,Community Colleges
117247,Community Colleges
366401,Community Colleges
117274,Community Colleges
117645,Community Colleges
117788,Community Colleges
117690,Community Colleges
117867,Community Colleges
117706,Community Colleges
117715,Community Colleges
117724,Community Colleges
117733,Community Colleges
117894,Community Colleges
118684,Community Colleges
118718,Community Colleges
118772,Community Colleges
118912,Community Colleges
118930,Community Colleges
118976,Community Colleges
119067,Community Colleges
119137,Community Colleges
460394,Community Colleges
119164,Community Colleges
119216,Community Colleges
119331,Community Colleges
460464,Community Colleges
120290,Community Colleges
120342,Community Colleges
120421,Community Colleges
120953,Community Colleges
120971,Community Colleges
121044,Community Colleges
121363,Community Colleges
117052,Community Colleges
121886,Community Colleges
121901,Community Colleges
122180,Community Colleges
122205,Community Colleges
123527,Community Colleges
122339,Community Colleges
122375,Community Colleges
122384,Community Colleges
122658,Community Colleges
122746,Community Colleges
121619,Community Colleges
122889,Community Colleges
122977,Community Colleges
123013,Community Colleges
399212,Community Colleges
123299,Community Colleges
123341,Community Colleges
123509,Community Colleges
123563,Community Colleges
123800,Community Colleges
124113,Community Colleges
125028,Community Colleges
125091,Community Colleges
125462,Community Colleges
448594,Community Colleges
125471,Community Colleges
125499,Community Colleges
455512,Community Colleges
126119,Community Colleges
108852,Other private not-for-profits
