State (long),State (short),TTRPC: 2016,TTRPC: 2017,TTRPC: 2018,Average TTRPC (2016-18),Index of TTRPC,Child poverty rate: 2015 to 2019,Index of child poverty rate,Number of public undergrads (IPEDS Guest_76267973773),Number of public undergrads receiving Pell (IPEDS Guest_76267973773),Share of public undergrads receiving Pell,Index of Pell share,Share of K-12 students eligible for FRPL,Index of FRPL eligible share,"Personal income per capita, 2017","Personal income per capita, 2018","Personal income per capita, 2019",Average personal income per capita (2017-19),Index of personal income ,"White residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Black residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Hispanic residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","AAPI residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Native American / Alaska Native residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Two or more races / Other race residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Total residents aged 18-35 without a college degree (ACS PUMS, 2019 5yr)","Two-Year Education Appropriations (FY 2020, SHEEO, SHEF report)"
LongState,STABBR2,IGNORE1,IGNORE2,IGNORE3,IGNORE4,TTRPCindex,IGNORE5,CPRindex,IGNORE6,IGNORE7,IGNORE8,PELLindex,IGNORE9,FRPLindex,IGNORE10,IGNORE11,IGNORE12,IGNORE13,PIPCindex,RESwhite,RESblack,REShispanic,RESaapi,RESnative,REStwo,RESall,TwoYearEdApprops
Alabama,AL,"46,701","48,560","51,026","48,762",0.7228332839,0.239,1.291891892,217607,75674,0.3478,1.069148146,0.552,1.055664368,41000,42676,44102,42593,0.7831885799,483022,286219,49874,8664,3395,15919,847093,401574468
Alaska,AK,"68,540","72,643","77,509","72,897",1.08060085,0.148,0.8,22866,5204,0.2276,0.6996988284,0.480,0.9179474962,57295,60234,62629,60053,1.104240857,76949,5949,13261,11832,28174,13162,149327,0
Arizona,AZ,"49,627","52,287","54,904","52,273",0.7748690582,0.215,1.162162162,333557,99944,0.2996,0.921193205,0.537,1.027585047,42566,44558,45975,44366,0.8158025388,501103,68771,550436,30486,71150,33362,1255308,1039222673
Arkansas,AR,"47,340","49,507","51,401","49,416",0.7325229766,0.237,1.281081081,126861,47912,0.3777,1.161128347,0.639,1.221742374,41622,43290,44582,43165,0.7937064437,344495,104758,57211,9197,3778,11819,531258,219242616
California,CA,"74,078","78,994","83,921","78,998",1.171029746,0.181,0.9783783784,2141265,654616,0.3057,0.9398969834,0.594,1.136727265,60581,63759,66745,63695,1.171215622,1776340,444136,3722553,660773,28333,224231,6856366,9958353000
Colorado,CO,"66,006","69,852","73,692","69,850",1.035428402,0.126,0.6810810811,248096,63974,0.2579,0.7927710852,0.408,0.7801397234,55550,58836,61159,58515,1.075966436,500773,49316,291748,25722,7214,27652,902425,391669429
Connecticut,CT,"89,442","93,346","97,008","93,265",1.382527918,0.133,0.7189189189,101215,40629,0.4014,1.234114093,0.417,0.797342159,71699,74791,77273,74588,1.371508602,271630,74748,136608,16013,902,15316,515217,280350322
Delaware,DE,"82,609","84,357","87,245","84,737",1.256107323,0.175,0.9459459459,38409,10261,0.2672,0.8213357855,0.314,0.6004989537,50738,52848,54323,52636,0.9678702552,77894,43373,21469,3860,524,5756,152876,84866700
District of Columbia,DC,"113,505","117,151","122,695","117,784",1.745977863,0.24,1.297297297,3867,1868,0.4831,1.48513782,0.764,1.461291601,78974,80943,83111,81009,1.489589399,20870,61292,13499,3344,315,1985,101305,0
Florida,FL,"55,002","59,500","62,010","58,837",0.8721810456,0.201,1.086486486,781643,293031,0.3749,1.152574966,0.551,1.055086868,48473,50939,52391,50601,0.9304448027,1331904,679774,990725,63750,6084,83058,3155295,1445649548
Georgia,GA,"56,373","59,666","61,916","59,318",0.8793111968,0.215,1.162162162,383257,156875,0.4093,1.258426054,0.603,1.154037957,44865,46921,48188,46658,0.8579414162,803189,683438,236079,50277,3151,42867,1819001,535175733
Hawaii,HI,"63,517","66,752","70,133","66,801",0.9902263069,0.119,0.6432432432,45731,12216,0.2671,0.8212632395,0.459,0.8780654675,53382,55116,57026,55175,1.014544808,46971,7166,34935,87352,324,53485,230233,216578541
Idaho,ID,"47,907","49,704","52,188","49,933",0.7401867773,0.158,0.8540540541,69429,19210,0.2767,0.8506492292,0.385,0.7373966457,42218,44514,45917,44216,0.8130443577,221177,3072,56663,4498,4389,7805,297604,83545955
Illinois,IL,"69,723","72,577","76,852","73,051",1.082873802,0.171,0.9243243243,416939,125262,0.3004,0.9236573259,0.489,0.935720342,54247,57138,58786,56724,1.043027625,932767,374416,501235,68107,1958,45167,1923650,1694984431
Indiana,IN,"56,546","58,851","61,396","58,931",0.8735695227,0.185,1,280431,89920,0.3206,0.9858125339,0.489,0.9352963117,45217,47300,48687,47068,0.8654804445,831013,136750,110372,29770,2257,32960,1143122,329394616
Iowa,IA,"63,143","64,569","67,546","65,086",0.9648087756,0.138,0.7459459459,152644,36518,0.2392,0.7355146106,0.425,0.8135236777,47629,50154,51791,49858,0.9167826124,369708,30713,46463,17109,2153,12040,478186,330065328
