UNITID,INSTNM,CONTROL,SECTOR,TRIBAL,STABBR,GoverningTribe,TribeShortName
105297,Dine College,1,1,1,AZ,"Navajo Nation, Arizona, New Mexico & Utah",Navajo
155140,Haskell Indian Nations University,1,1,1,KS,N/A,Other governance
180054,Blackfeet Community College,2,5,1,MT,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Blackfeet
180160,Chief Dull Knife College,1,4,1,MT,"Northern Cheyenne Tribe of the Northern Cheyenne Indian Reservation, Montana",Northern Cheyenne
180203,Aaniiih Nakoda College,1,4,1,MT,Fort Belknap Indian Community of the Fort Belknap Reservation of Montana,Assiniboine and Gros Ventre Tribes
180212,Fort Peck Community College,1,4,1,MT,"Assiniboine & Sioux Tribes of the Fort Peck Indian Reservation, Montana",Assiniboine and Sioux
180328,Little Big Horn College,1,4,1,MT,Crow Tribe of Montana,Crow
180647,Salish Kootenai College,1,1,1,MT,Confederated Salish and Kootenai Tribes of the Flathead Reservation,Confederated Salish
181419,Nebraska Indian Community College,1,4,1,NE,Omaha Tribe of Nebraska and Santee Sioux Nation (Nebraska),Omaha & Santee Sioux
187596,Navajo Technical University,1,1,1,NM,"Navajo Nation, Arizona, New Mexico & Utah",Navajo
187745,Institute of American Indian and Alaska Native Culture and Arts Development,1,1,1,NM,Other,Other governance
188216,Southwestern Indian Polytechnic Institute,1,4,1,NM,Other,Other governance
200086,Nueta Hidatsa Sahnish College,1,1,1,ND,"Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",Three Affiliated
200208,Cankdeska Cikana Community College,1,4,1,ND,"Spirit Lake Tribe, North Dakota",Spirit Lake
200466,Sitting Bull College,1,1,1,ND,Standing Rock Sioux Tribe of North & South Dakota,Standing Rock
200527,Turtle Mountain Community College,2,2,1,ND,Turtle Mountain Band of Chippewa Indians of North Dakota,Turtle Mountain
200554,United Tribes Technical College,2,2,1,ND,Other,Other governance
219277,Oglala Lakota College,1,1,1,SD,Oglala Sioux Tribe,Oglala Sioux
219374,Sinte Gleska University,1,1,1,SD,"Rosebud Sioux Tribe of the Rosebud Indian Reservation, South Dakota",Rosebud
219408,Sisseton Wahpeton College,1,4,1,SD,"Sisseton-Wahpeton Oyate of the Lake Traverse Reservation, South Dakota",Sisseton-Wahpeton
260372,Lac Courte Oreilles Ojibwe College,1,4,1,WI,Lac Courte Oreilles Band of Lake Superior Chippewa Indians of Wisconsin,Lac Courte Oreilles
366340,Stone Child College,1,1,1,MT,"Chippewa Cree Indians of the Rocky Boy's Reservation, Montana",Chippewa-Cree
380359,Bay Mills Community College,1,1,1,MI,"Bay Mills Indian Community, Michigan",Bay Mills
380368,Fond du Lac Tribal and Community College,1,4,1,MN,Minnesota Chippewa Tribe - Fond du Lac Band,Fond du Lac
380377,Northwest Indian College,1,1,1,WA,Lummi Tribe of the Lummi Reservation,Lummi
413617,College of Menominee Nation,2,2,1,WI,Menominee Indian Tribe of Wisconsin,Menominee
413626,Leech Lake Tribal College,1,4,1,MN,Minnesota Chippewa Tribe - Leech Lake Band,Leech Lake
434016,Little Priest Tribal College,1,4,1,NE,Winnebago Tribe of Nebraska,Winnebago
434584,Ilisagvik College,1,1,1,AK,Inupiat Community of the Arctic Slope,Inupiat Community of the Arctic Slope
434751,White Earth Tribal and Community College,2,5,1,MN,Minnesota Chippewa Tribe - White Earth Band,White Earth
441070,Saginaw Chippewa Tribal College,1,4,1,MI,Saginaw Chippewa Indian Tribe of Michigan,Saginaw Chippewa
442781,Tohono O'odham Community College,1,4,1,AZ,Tohono O'odham Nation of Arizona,Tohono O'odham
461315,Keweenaw Bay Ojibwa Community College,1,4,1,MI,"Keweenaw Bay Indian Community, Michigan",Keweenaw
480967,College of the Muscogee Nation,1,4,1,OK,The Muscogee (Creek) Nation,Muscogee (Creek) Nation
491844,Red Lake Nation College,1,4,1,MN,"Red Lake Band of Chippewa Indians, Minnesota",Red Lake
