"STABBR2","adjResidentFTE","partnershipCost","AANAPISIfte","ANNHfte","HBCUfte","HSIfte","NASNTIfte","PBIfte","TCUfte","TTRPCindex","CPRindex","PIPCindex","PELLindex","FRPLindex","HSwhite","HSblack","HShispanic","HSaapi","HSnative","HStwo","RESwhite","RESblack","REShispanic","RESaapi","RESnative","REStwo"
"AL",52492.0961405382,228107544.150199,NA,NA,12305.7757953617,NA,NA,2230.56517056065,NA,0.7228332839,1.291891892,0.7831885799,1.069148146,1.055664368,119835,68118,16932,3602,2229,4372,483022,286219,49874,8664,3395,15919
"AR",26569.7101790084,115460265.131908,NA,NA,NA,859.37880562069,NA,3755.87728813047,NA,0.7325229766,1.281081081,0.7937064437,1.161128347,1.221742374,88759,27896,19041,3694,928,3607,344495,104758,57211,9197,3778,11819
"AZ",98722.4946931974,429004506.822414,NA,NA,NA,61146.7236133971,3363.85003975512,NA,NA,0.7748690582,1.162162162,0.8158025388,0.921193205,1.027585047,134102,18823,162376,10965,15903,12491,501103,68771,550436,30486,71150,33362
"CA",787825.939545966,3423544752.46168,281506.248754715,NA,NA,634466.735962281,NA,NA,NA,1.171029746,0.9783783784,1.171215622,0.9398969834,1.136727265,447877,106132,1071415,247616,10190,79959,1776340,444136,3722553,660773,28333,224231
"CO",50540.9504254695,219628723.716892,NA,NA,NA,14477.3593291475,NA,NA,NA,1.035428402,0.6810810811,1.075966436,0.7927710852,0.7801397234,146738,12518,94788,10103,1984,10845,500773,49316,291748,25722,7214,27652
"CT",25242.0181266929,109690699.888589,NA,NA,NA,11591.8725391935,NA,NA,NA,1.382527918,0.7189189189,1.371508602,1.234114093,0.797342159,89367,20837,40184,8232,411,4860,271630,74748,136608,16013,902,15316
"DE",7786.96681325566,33838730.1470152,NA,NA,NA,NA,NA,NA,NA,1.256107323,0.9459459459,0.9678702552,0.8213357855,0.6004989537,18580,13096,7309,1723,238,1436,77894,43373,21469,3860,524,5756
"FL",282984.163135814,1229724610.60588,NA,NA,NA,164876.561521201,NA,NA,NA,0.8721810456,1.086486486,0.9304448027,1.152574966,1.055086868,325280,184063,287849,26881,2616,27570,1331904,679774,990725,63750,6084,83058
"GA",94354.8338022621,410024575.122892,NA,NA,NA,NA,NA,38307.083239689,NA,0.8793111968,1.162162162,0.8579414162,1.258426054,1.154037957,209682,188510,83301,23918,985,17502,803189,683438,236079,50277,3151,42867
"HI",12532.718918686,54461679.8386611,12532.718918686,10593.8321103166,NA,NA,NA,NA,NA,0.9902263069,0.6432432432,1.014544808,0.8212632395,0.8780654675,6101,864,4747,35002,158,4710,46971,7166,34935,87352,324,53485
"IA",44864.099682188,194959629.190923,NA,NA,NA,NA,NA,NA,NA,0.9648087756,0.7459459459,0.9167826124,0.7355146106,0.8135236777,113980,9330,16889,4369,551,5380,369708,30713,46463,17109,2153,12040
"ID",13126.018186614,57039897.3019305,NA,NA,NA,NA,NA,NA,NA,0.7401867773,0.8540540541,0.8130443577,0.8506492292,0.7373966457,70695,1179,16917,1602,1094,2498,221177,3072,56663,4498,4389,7805
"IL",171345.324469836,744591358.321636,23696.0976317746,NA,NA,44864.2181511336,NA,13165.3517430125,NA,1.082873802,0.9243243243,1.043027625,0.9236573259,0.935720342,294153,95548,159573,32315,1441,18988,932767,374416,501235,68107,1958,45167
"IN",57247.2386424692,248771300.371625,NA,NA,NA,NA,NA,NA,NA,0.8735695227,1,0.8654804445,0.9858125339,0.9352963117,218464,39458,39533,8403,648,14276,831013,136750,110372,29770,2257,32960
"KS",38441.3979725983,167049394.669876,NA,NA,NA,1894.3546431144,NA,NA,NA,0.9555044965,0.8054054054,0.9409749251,0.7947902297,0.8951571249,92541,9801,28239,4486,1236,7352,308856,38511,85667,14104,3382,17461
"KY",40638.7554641442,176598143.107634,NA,NA,NA,NA,NA,NA,NA,0.7519023619,1.27027027,0.7778499672,1.049473816,1.08645499,154332,22038,13964,4160,260,6473,610348,81903,39563,10984,983,19876
"LA",40883.6508812752,177662350.793793,NA,NA,1999.14306260833,NA,NA,10658.3310165886,NA,0.8223490463,1.47027027,0.8423178528,1.266052859,1.022704724,91426,85663,14265,3781,1448,3944,436050,350075,57902,12087,4993,16805
"MA",45379.7153360133,197200267.861641,10140.4819152447,NA,NA,11460.9329595532,NA,NA,NA,1.338699476,0.7135135135,1.313715515,1.118008498,0.7638066153,178113,27359,59446,19850,713,9672,589604,96387,202607,60088,1899,37025
"MD",61871.9776188655,268868380.271369,11950.7762329517,NA,NA,NA,NA,2624.18210914885,NA,1.163227592,0.6540540541,1.151675442,0.9163927537,0.8864031777,99437,88558,48064,18629,622,11002,365084,326066,135739,37219,1696,29921
"ME",8831.32995364848,38377072.6532506,NA,NA,NA,NA,NA,NA,NA,0.7908241921,0.8162162162,0.8939755196,1.086133183,0.8435939573,49606,2113,1299,1009,460,1146,168044,3958,5119,2707,1499,5721
"MI",101010.709270035,438948080.159885,NA,NA,NA,NA,NA,5739.81702995498,NA,0.8467042198,1.075675676,0.8760657305,0.9634150163,0.9567745987,316669,77162,36281,16966,3122,16172,1086259,309849,120251,41759,9042,54065
"MN",68020.0603582553,295585241.628167,13239.065673,NA,NA,NA,NA,NA,NA,1.035033106,0.6594594595,1.048758512,0.8661837893,0.6955587393,184597,29789,26126,18630,4445,11746,524915,77595,69556,48210,12728,30875
"MO",50991.1916592895,221585273.934412,NA,NA,NA,NA,NA,NA,NA,0.846363277,1.010810811,0.8643158792,0.9692974248,0.961047102,191980,39249,17877,6484,1092,9534,715890,155178,59616,17987,4270,28758
"MS",55202.2715133067,239884773.37045,NA,NA,1534.3883188,NA,NA,23046.4034936099,NA,0.6267269493,1.551351351,0.6939890041,1.330299549,1.41611901,58242,61663,4990,1632,376,2205,248520,241994,22779,4633,3415,5831
"MT",3657.2125743796,15892636.0369271,NA,NA,NA,NA,NA,NA,NA,0.7896877162,0.8540540541,0.8823911591,0.9244383495,0.7463113534,33772,395,2081,541,4521,1315,134641,1400,9361,2137,14486,5927
"NC",145270.496116118,631281631.768133,NA,1301.6759104,NA,NA,2175.76642,1996.34056396479,NA,0.8498369404,1.145945946,0.8473990352,1.137488337,1.071727395,227197,112000,80347,15524,5040,22616,884464,446126,228314,36904,22634,50997
"ND",5196.54559622718,22581899.7748975,NA,NA,NA,NA,NA,NA,NA,1.116884079,0.6162162162,1.013545734,0.6339651316,0.5796593119,24518,1533,1671,631,2822,808,98368,7010,9514,3864,8839,3827
"NE",20844.5641785736,90581300.6766869,NA,NA,NA,NA,NA,NA,NA,1.021568337,0.7513513514,0.9688999761,0.8558099031,0.8644082662,64878,6387,18991,2813,1213,3401,202864,21502,49747,8718,3553,8638
"NH",7793.14198882452,33865564.7418833,NA,NA,NA,NA,NA,NA,NA,1.115920546,0.4972972973,1.12497012,0.8465288548,0.5161541993,47897,1252,3054,1940,149,1626,167268,4222,12359,4649,234,5575
"NJ",90552.4261510326,393500985.193131,7744.7824698,NA,NA,39752.28071173,NA,5337.34960059722,NA,1.235759462,0.7567567568,1.245251332,1.123296214,0.7197960866,185338,56825,112925,42686,470,6591,496452,216591,372097,66524,1415,30227
"NM",32179.2064654481,139836666.83615,NA,3725.05355802343,NA,25624.4857000046,4042.90465242343,NA,NA,0.7395888922,1.443243243,0.7639855104,1.097379622,1.383364075,22069,1884,61552,1412,10505,1844,95012,9770,220898,3999,45073,6799
"NV",29174.7499946789,126780621.498992,19628.4637229802,NA,NA,21654.7466372887,NA,NA,NA,0.9393912442,0.9837837838,0.9104694424,0.9162161999,1.172126097,45964,15574,61894,11680,1218,8499,200889,59437,219722,39223,5792,23020
"NY",175407.63800464,762244384.817499,34521.6750335464,NA,NA,70706.8737533444,NA,NA,NA,1.364680304,1.059459459,1.263185638,1.307609898,1.030525455,353117,137741,214723,79330,5875,16773,1237893,534649,783421,197942,8892,82421
"OH",117471.119666857,510477778.29331,NA,NA,NA,NA,NA,NA,NA,0.9003063544,1.075675676,0.8930316088,0.9105909964,0.8669173475,356691,80283,29257,13354,673,24931,1357133,309752,103394,37450,3316,66360
"OK",34675.6658465218,150685180.428802,NA,1745.57567402735,NA,654.083967814068,10449.3488897877,NA,NA,0.7920446684,1.162162162,0.8389283547,0.957218135,1.15294745,96698,16765,33404,4800,26364,16154,412920,65193,109774,17390,62464,61716
"OR",45445.9184017833,197487957.244583,NA,NA,NA,8284.91906526193,NA,NA,NA,0.9067842672,0.8972972973,0.9402945737,0.9663915828,0.9363081164,111911,4145,42206,8957,2366,11400,442087,16340,136078,30155,8249,31430
"PA",74487.6680737111,323690617.884234,NA,NA,NA,6374.27536980935,NA,10706.9314375176,NA,0.9915505485,0.9513513514,1.025546886,0.9973834333,0.9736145007,363507,76642,63578,22520,847,17547,1283766,298566,229756,59910,2048,52361
"RI",8814.49623608276,38303920.7264813,NA,NA,NA,NA,NA,NA,NA,1.000968475,0.9189189189,1.001544581,1.109886833,0.9068446127,25648,4075,12057,1390,359,1661,105911,14288,43485,6457,777,6590
"SC",51785.3959354123,225036536.130056,NA,NA,318.526943882974,NA,NA,10105.9941225821,NA,0.7547336693,1.2,0.8052908042,1.059607845,1.185391337,117915,71825,22164,4217,725,8524,454789,288542,68719,11449,2714,21328
"SD",5328.0932197934,23153547.8430208,NA,NA,NA,NA,NA,NA,NA,0.9720278684,0.9351351351,0.9570397975,0.8272399563,0.7061023141,29763,1222,2427,756,3580,1370,96873,4890,8506,2922,18520,4850
"TN",52910.9401225005,229927655.731412,NA,NA,NA,NA,NA,5671.1073209952,NA,0.8363573476,1.183783784,0.864438465,1.168885117,1.125158191,184402,62268,31045,6365,500,7286,746951,246764,89701,16808,2769,25611
"TX",435973.879366816,1894550575.19027,30818.5632773942,NA,6039.53999741525,308448.33601505,NA,0,NA,0.9518727147,1.12972973,0.9339507573,1.002733561,1.158666063,446747,198791,827811,75667,5479,34313,1631360,714950,2609121,151005,13017,92380
"UT",23574.1943824438,102443072.029387,NA,NA,NA,NA,NA,NA,NA,0.8747504694,0.5891891892,0.8587382241,0.7818413425,0.6302614696,149074,2932,35268,6872,2126,5285,409707,9204,107907,19172,7852,16322
"VA",90448.4414418452,393049113.418408,28360.8431023574,NA,NA,NA,NA,NA,NA,1.040414073,0.7513513514,1.060299968,0.8321785519,0.8502108614,193981,84790,63870,29994,1009,20331,699266,317633,179987,56064,3251,51149
"VT",3272.67158358069,14221590.1560124,NA,NA,NA,NA,NA,NA,NA,0.9070412096,0.7027027027,0.9832180005,0.7640674423,0.6963870426,22207,608,573,651,105,558,87515,2109,3527,2806,425,1951
"WA",128539.839243464,558577561.406321,35536.7609926794,NA,NA,10135.4705889984,NA,NA,NA,1.194619034,0.7351351351,1.136070266,0.7589859881,0.8225746464,185827,15305,79057,32163,4172,26171,697432,58332,232292,88399,18286,70920
"WI",51576.6635557782,224129477.086815,NA,NA,NA,NA,NA,NA,NA,0.9348453404,0.8054054054,0.9442602252,0.7954121318,0.7556036013,185918,22804,30419,10043,2953,8801,629763,89599,93001,32718,9920,21247
"WV",10814.369139463,46994488.0717298,NA,NA,NA,NA,NA,NA,NA,0.6958493922,1.286486486,0.7495326415,1.037586577,0.964615038,69094,3453,1496,619,76,1923,265855,15406,6124,1737,446,5757
"WY",8245.56832361317,35831610.4463873,NA,NA,NA,NA,NA,NA,NA,1.138803241,0.6810810811,1.097155396,0.6277077035,0.6972574194,21698,280,3987,310,921,685,77977,1245,14077,658,3063,2601
