"STABBR2","adjResidentFTE","partnershipCost","AANAPISIfte","ANNHfte","HBCUfte","HSIfte","NASNTIfte","PBIfte","TCUfte","tuitionFTEproduct"
"Assiniboine and Gros Ventre Tribes",121.0861312,526187.027180843,NA,NA,NA,NA,NA,NA,121.0861312,305594.467809097
"Assiniboine and Sioux",226.0905106,982489.83981423,NA,NA,NA,NA,NA,NA,226.0905106,532719.868595507
"Bay Mills",313.708674122105,1363239.81120932,NA,313.708674122105,NA,NA,NA,NA,313.708674122105,1090683.27343606
"Blackfeet",267.7138682,1163366.63040765,NA,NA,NA,NA,NA,NA,267.7138682,944788.964906037
"Chippewa-Cree",223.2525544,970157.331364679,NA,NA,NA,NA,NA,NA,223.2525544,618381.025336472
"Confederated Salish",549.6175174,2388395.80306305,NA,549.6175174,NA,NA,NA,NA,549.6175174,3683042.39728848
"Crow",216.6306566,941381.478315727,NA,NA,NA,NA,NA,NA,216.6306566,725945.364401279
"Fond du Lac",818.277371,3555873.26962054,NA,NA,NA,NA,NA,NA,818.277371,4742989.99324008
"Inupiat Community of the Arctic Slope",118.248175,513854.518731292,118.248175,118.248175,NA,NA,NA,NA,118.248175,591910.965106119
"Keweenaw",52.9751824,230206.824391619,NA,NA,NA,NA,NA,NA,52.9751824,244095.166196063
"Lac Courte Oreilles",167.996229991139,730037.667902852,NA,NA,NA,NA,NA,NA,167.996229991139,807506.939716104
"Leech Lake",68.1109488,295980.202789224,NA,NA,NA,NA,NA,NA,68.1109488,280027.87670038
"Lummi",402.043795,1747105.36368639,NA,NA,NA,NA,NA,NA,402.043795,2857493.52481083
"Menominee",122.129977158621,530723.122242747,NA,NA,NA,NA,NA,NA,122.129977158621,792954.023997421
"Muscogee (Creek) Nation",206.2248172,896162.280667373,NA,NA,NA,NA,NA,NA,206.2248172,1425341.41689487
"Navajo",1887.240873,8201118.11895142,NA,1115.3167866,NA,NA,NA,NA,1887.240873,5893442.01406387
"Northern Cheyenne",133.3839414,579627.897128897,NA,NA,NA,NA,NA,NA,133.3839414,315679.243750152
"Oglala Sioux",811.6554732,3527097.41657159,NA,NA,NA,NA,NA,NA,811.6554732,2281330.85863742
"Omaha & Santee Sioux",110.6802918,480967.829532489,NA,NA,NA,NA,NA,NA,110.6802918,472894.758666204
"Other governance",1842.7795592,8007908.81990846,NA,NA,NA,NA,NA,NA,1842.7795592,4250444.78117832
"Red Lake",73.7868612,320645.219688326,NA,NA,NA,NA,NA,NA,73.7868612,176021.937947976
"Rosebud",317.8510944,1381240.94634971,NA,317.8510944,NA,NA,NA,NA,317.8510944,1049831.11933961
"Saginaw Chippewa",72.8408758,316534.383538476,NA,NA,NA,NA,NA,NA,72.8408758,168578.224154156
"Sisseton-Wahpeton",99.328467,431637.795734285,NA,NA,NA,NA,NA,NA,99.328467,469120.397533059
"Spirit Lake",117.3021896,509743.682581442,NA,NA,NA,NA,NA,NA,117.3021896,405372.329575605
"Standing Rock",238.3883208,1035930.70976228,NA,NA,NA,NA,NA,NA,238.3883208,1001067.56227454
"Three Affiliated",145.6817516,633068.767076952,NA,NA,NA,NA,NA,NA,145.6817516,590405.183236728
"Tohono O'odham",222.61818772,967400.653005368,NA,NA,NA,NA,NA,NA,222.61818772,217275.419594123
"Turtle Mountain",443.6671526,1927982.15427981,NA,443.6671526,NA,NA,NA,NA,443.6671526,1045379.15636524
"White Earth",82.3007298,357642.745036979,NA,NA,NA,NA,NA,NA,82.3007298,393698.557503956
"Winnebago",101.2204378,439859.468033986,NA,NA,NA,NA,NA,NA,101.2204378,544835.468768307
